SHRP_ID,IRI_SCORE,FWD_SCORE,RHI,ROAD_CONDITION
0101,54.79252,52.21388619574815,53.50320240573541,Fair
0102,46.54806,52.91833920397645,49.73320028741303,Poor
0103,59.09626,62.0396465336411,60.56795330222094,Fair
0104,63.796482,63.57008959834333,63.683285842262485,Fair
0105,55.03174,61.16154627583529,58.096642278542646,Fair
0106,63.65444,,63.654441833496094,Fair
0107,61.98951,,61.98950958251953,Fair
0108,59.418472,,59.41847229003906,Fair
0109,66.639465,,66.63946533203125,Fair
0110,61.978813,,61.97881317138672,Fair
0111,66.1205,,66.12049865722656,Fair
0112,67.540016,,67.5400161743164,Fair
0113,49.838776,,49.838775634765625,Poor
0114,65.10314,,65.10314178466797,Fair
0115,64.653725,,64.65372467041016,Fair
0116,68.67302,,68.67301940917969,Fair
0117,64.78239,,64.78238677978516,Fair
0118,61.53985,,61.53984832763672,Fair
0119,59.168102,,59.1681022644043,Fair
0120,62.14792,,62.147918701171875,Fair
0121,65.7273,,65.72730255126953,Fair
0122,62.702194,,62.70219421386719,Fair
0123,71.27985,,71.27984619140625,Fair
0124,66.786224,,66.78622436523438,Fair
0159,63.903645,,63.90364456176758,Fair
0160,49.213272,,49.21327209472656,Poor
0161,57.76213,,57.76213073730469,Fair
0162,57.36558,,57.36558151245117,Fair
0163,51.607735,,51.60773468017578,Fair
0164,61.4038,,61.40380096435547,Fair
0201,30.813951,,30.81395149230957,Poor
0202,50.44403,,50.44403076171875,Fair
0203,43.15141,,43.15140914916992,Poor
0204,36.984722,,36.98472213745117,Poor
0205,40.37222,,40.37221908569336,Poor
0206,40.27814,,40.278141021728516,Poor
0207,33.55739,,33.55738830566406,Poor
0208,22.704866,,22.704866409301758,Poor
0209,54.80056,,54.800559997558594,Fair
0210,48.920273,,48.92027282714844,Poor
0211,46.93246,,46.93246078491211,Poor
0212,35.92094,,35.92094039916992,Poor
0213,36.235477,,36.235477447509766,Poor
0214,32.58328,,32.58327865600586,Poor
0215,30.243046,,30.243045806884766,Poor
0216,33.562096,,33.562095642089844,Poor
0217,31.71124,,31.711240768432617,Poor
0218,36.532986,,36.53298568725586,Poor
0219,35.877483,,35.87748336791992,Poor
0220,32.01916,,32.019161224365234,Poor
0221,45.074024,,45.07402420043945,Poor
0222,41.58423,,41.584228515625,Poor
0223,35.10778,,35.10778045654297,Poor
0224,42.10908,,42.10908126831055,Poor
0259,49.36621,,49.3662109375,Poor
0260,44.205433,,44.2054328918457,Poor
0261,56.986553,,56.98655319213867,Fair
0262,7.1567006,,7.156700611114502,Poor
0263,47.038544,,47.038543701171875,Poor
0264,17.791916,,17.791915893554688,Poor
0265,12.157834,,12.15783405303955,Poor
0266,31.951986,,31.95198631286621,Poor
0267,43.648384,,43.64838409423828,Poor
0268,39.634235,,39.63423538208008,Poor
0501,36.952248,,36.952247619628906,Poor
0502,47.594284,,47.59428405761719,Poor
0503,56.1283,,56.128299713134766,Fair
0504,55.73352,,55.7335205078125,Fair
0505,52.576416,,52.576416015625,Fair
0506,58.818916,,58.81891632080078,Fair
0507,57.20042,,57.20042037963867,Fair
0508,59.544678,,59.544677734375,Fair
0509,50.436886,,50.436885833740234,Fair
0559,48.213524,,48.213523864746094,Poor
0560,53.67692,,53.67692184448242,Fair
0561,55.481373,,55.48137283325195,Fair
0562,63.04114,,63.041141510009766,Fair
0563,59.65853,,59.658531188964844,Fair
0564,62.839035,,62.83903503417969,Fair
0565,49.446102,,49.446102142333984,Poor
0566,58.070446,,58.0704460144043,Fair
0567,47.406185,,47.406185150146484,Poor
0568,40.56991,,40.569908142089844,Poor
0569,33.48359,,33.48358917236328,Poor
0570,36.658848,,36.65884780883789,Poor
0571,49.81944,,49.81943893432617,Poor
0601,24.424742,,24.424741744995117,Poor
0602,27.21734,,27.21734046936035,Poor
0603,41.052177,,41.05217742919922,Poor
0604,40.517494,,40.517494201660156,Poor
0605,31.725985,,31.725984573364258,Poor
0606,41.05702,,41.0570182800293,Poor
0607,39.19704,,39.19704055786133,Poor
0608,49.927177,,49.92717742919922,Poor
0659,41.063076,,41.06307601928711,Poor
0660,32.971745,,32.971744537353516,Poor
0661,38.300117,,38.30011749267578,Poor
0662,34.4194,,34.41939926147461,Poor
0663,39.455486,,39.45548629760742,Poor
0664,48.699005,,48.699005126953125,Poor
0665,61.57724,,61.577239990234375,Fair
0666,62.650867,,62.6508674621582,Fair
0667,55.315086,,55.315086364746094,Fair
0668,57.00657,,57.006568908691406,Fair
0669,54.591797,,54.591796875,Fair
0670,47.293262,,47.29326248168945,Poor
0671,43.653107,,43.653106689453125,Poor
0672,49.224724,,49.22472381591797,Poor
0701,42.227856,,42.22785568237305,Poor
0702,49.308125,,49.30812454223633,Poor
0703,54.439983,,54.43998336791992,Fair
0704,54.11422,,54.114219665527344,Fair
0705,50.083412,,50.083412170410156,Fair
0706,46.217686,,46.21768569946289,Poor
0707,50.82334,,50.823341369628906,Fair
0708,55.45917,,55.459171295166016,Fair
0709,48.315563,,48.3155632019043,Poor
0759,51.10004,,51.100040435791016,Fair
0803,53.03062,,53.03062057495117,Fair
0804,49.194668,,49.19466781616211,Poor
0809,31.20296,,31.202959060668945,Poor
0810,26.57368,,26.573680877685547,Poor
0811,18.180725,,18.18072509765625,Poor
0812,33.00508,,33.00508117675781,Poor
0901,57.999996,,57.999996185302734,Fair
0902,60.73626,,60.73625946044922,Fair
0903,57.363087,,57.36308670043945,Fair
0904,47.732815,,47.73281478881836,Poor
0905,52.128853,,52.12885284423828,Fair
0959,66.13855,,66.1385498046875,Fair
0960,61.000946,,61.000946044921875,Fair
0961,59.91769,,59.91769027709961,Fair
0962,50.349796,,50.349796295166016,Fair
1001,52.89838,,52.898380279541016,Fair
1002,29.456043,,29.456043243408203,Poor
1003,47.52495,,47.52494812011719,Poor
1004,44.340683,,44.34068298339844,Poor
1005,24.929045,,24.929044723510742,Poor
1006,43.67195,,43.67195129394531,Poor
1007,53.21211,,53.21210861206055,Fair
1008,29.383482,,29.383481979370117,Poor
1009,51.21558,,51.215579986572266,Fair
1010,41.09352,,41.09352111816406,Poor
1011,59.936714,,59.93671417236328,Fair
1012,57.192154,,57.19215393066406,Fair
1013,34.05104,,34.05104064941406,Poor
1014,16.398134,,16.398134231567383,Poor
1015,65.413055,,65.41305541992188,Fair
1016,56.54124,,56.54124069213867,Fair
1017,63.839897,,63.83989715576172,Fair
1018,65.71117,,65.71116638183594,Fair
1019,39.58223,,39.58222961425781,Poor
1020,69.87751,,69.87751007080078,Fair
1021,52.943146,,52.943145751953125,Fair
1022,66.69123,,66.69123077392578,Fair
1024,61.194206,,61.19420623779297,Fair
1025,44.352356,,44.35235595703125,Poor
1026,50.22475,,50.22475051879883,Fair
1028,49.67159,,49.67158889770508,Poor
1029,32.33752,,32.337520599365234,Poor
1030,37.846527,,37.846527099609375,Poor
1031,70.119576,,70.11957550048828,Fair
1034,58.8809,,58.88090133666992,Fair
1036,26.616674,,26.616674423217773,Poor
1037,34.578598,,34.57859802246094,Poor
1044,32.272343,,32.272342681884766,Poor
1047,37.89555,,37.89554977416992,Poor
1053,54.82695,,54.82695007324219,Fair
1057,51.718678,,51.71867752075195,Fair
1060,70.57789,,70.57788848876953,Fair
1062,63.433212,,63.43321228027344,Fair
1065,64.990265,,64.99026489257812,Fair
1201,23.737158,,23.737157821655273,Poor
1253,18.769995,,18.769994735717773,Poor
1370,41.6219,,41.62189865112305,Poor
1400,0.0,,0.0,Poor
1450,52.588226,,52.588226318359375,Fair
1632,61.32684,,61.326839447021484,Fair
1634,65.27278,,65.27278137207031,Fair
1803,35.926525,,35.9265251159668,Poor
2002,50.10083,,50.100830078125,Fair
2004,23.755623,,23.75562286376953,Poor
2008,41.063137,,41.06313705444336,Poor
2009,19.30166,,19.301660537719727,Poor
2038,45.06675,,45.066749572753906,Poor
2040,46.505432,,46.50543212890625,Poor
2041,53.356262,,53.35626220703125,Fair
2042,32.42618,,32.42618179321289,Poor
2051,44.892242,,44.892242431640625,Poor
2053,38.262623,,38.26262283325195,Poor
2401,55.045532,,55.0455322265625,Fair
2647,47.0068,,47.00680160522461,Poor
2805,56.17475,,56.17475128173828,Fair
3002,19.311777,,19.311777114868164,Poor
3003,40.87389,,40.8738899230957,Poor
3005,0.0,,0.0,Poor
3006,17.486109,,17.486108779907227,Poor
3007,24.106169,,24.106168746948242,Poor
3009,10.009019,,10.009018898010254,Poor
3010,51.356434,,51.3564338684082,Fair
3011,49.87782,,49.8778190612793,Poor
3013,33.98196,,33.98196029663086,Poor
3014,35.00913,,35.00912857055664,Poor
3015,48.128242,,48.12824249267578,Poor
3016,40.973595,,40.973594665527344,Poor
3017,41.873257,,41.87325668334961,Poor
3018,55.236492,,55.23649215698242,Fair
3019,37.883556,,37.8835563659668,Poor
3020,39.30892,,39.308921813964844,Poor
3021,46.310783,,46.31078338623047,Poor
3023,47.252872,,47.252872467041016,Poor
3024,35.540928,,35.54092788696289,Poor
3028,19.239561,,19.239561080932617,Poor
3030,27.645555,,27.64555549621582,Poor
3031,23.31586,,23.315860748291016,Poor
3032,31.357443,,31.35744285583496,Poor
3033,31.09916,,31.099159240722656,Poor
3042,58.5052,,58.50519943237305,Fair
3048,15.954499,,15.954499244689941,Poor
3055,31.821932,,31.821931838989258,Poor
3056,48.07738,,48.0773811340332,Poor
3058,62.668716,,62.66871643066406,Fair
3059,28.839417,,28.83941650390625,Poor
3060,37.8038,,37.80379867553711,Poor
3068,16.100248,,16.100248336791992,Poor
3069,44.689655,,44.68965530395508,Poor
3071,67.77042,,67.77041625976562,Fair
3073,19.274593,,19.274593353271484,Poor
3074,6.3041325,,6.304132461547852,Poor
3804,22.757214,,22.757213592529297,Poor
3811,10.884576,,10.884575843811035,Poor
3995,55.66164,,55.66164016723633,Fair
3996,56.109734,,56.10973358154297,Fair
3997,60.64624,,60.646240234375,Fair
3998,64.64716,,64.64716339111328,Fair
4000,41.9663,,41.96630096435547,Poor
4001,10.21684,,10.216839790344238,Poor
4002,46.785885,,46.785884857177734,Poor
4007,30.292969,,30.29296875,Poor
4008,43.83216,,43.83216094970703,Poor
4015,25.21734,,25.21734046936035,Poor
4016,40.56742,,40.567420959472656,Poor
4019,29.175453,,29.175453186035156,Poor
4020,24.866837,,24.866836547851562,Poor
4021,10.283716,,10.283716201782227,Poor
4023,0.0,,0.0,Poor
4025,0.0,,0.0,Poor
4042,1.4844534,,1.4844534397125244,Poor
4046,16.017462,,16.0174617767334,Poor
4052,39.01186,,39.01185989379883,Poor
4053,34.755253,,34.755252838134766,Poor
4054,26.610493,,26.610492706298828,Poor
4057,65.85964,,65.8596420288086,Fair
4059,53.096966,,53.09696578979492,Fair
4063,13.22384,,13.22383975982666,Poor
4067,54.513622,,54.51362228393555,Fair
4073,59.37434,,59.37434005737305,Fair
4074,28.701345,,28.701345443725586,Poor
4082,25.724129,,25.72412872314453,Poor
4084,0.0,,0.0,Poor
4092,68.30965,,68.30964660644531,Fair
4093,66.87885,,66.87885284423828,Fair
4096,61.777733,,61.777732849121094,Fair
4097,65.323524,,65.32352447509766,Fair
4099,65.231995,,65.23199462890625,Fair
4100,67.94276,,67.94275665283203,Fair
4101,49.81203,,49.81203079223633,Poor
4103,70.676544,,70.67654418945312,Fair
4105,65.66863,,65.66863250732422,Fair
4106,63.816853,,63.81685256958008,Fair
4107,46.686783,,46.68678283691406,Poor
4108,69.402435,,69.40243530273438,Fair
4109,21.3014,,21.30139923095703,Poor
4111,66.28751,,66.28751373291016,Fair
4112,46.928654,,46.928653717041016,Poor
4113,58.824566,,58.82456588745117,Fair
4118,73.81939,,73.81938934326172,Fair
4119,61.406773,,61.40677261352539,Fair
4125,54.92815,,54.92815017700195,Fair
4126,62.85929,,62.859291076660156,Fair
4127,62.093708,,62.09370803833008,Fair
4129,46.567818,,46.56781768798828,Poor
4135,58.904182,,58.90418243408203,Fair
4136,57.299488,,57.29948806762695,Fair
4137,65.58149,,65.58148956298828,Fair
4138,0.0,,0.0,Poor
4154,20.102467,,20.102466583251953,Poor
4155,62.863605,,62.86360549926758,Fair
4420,54.11215,,54.11214828491211,Fair
5001,38.769577,,38.76957702636719,Poor
5004,50.561165,,50.56116485595703,Fair
5005,63.283447,,63.283447265625,Fair
5008,60.471832,,60.471832275390625,Fair
5020,49.54292,,49.54291915893555,Poor
5022,49.907757,,49.90775680541992,Poor
5023,42.28018,,42.280181884765625,Poor
5025,32.491558,,32.49155807495117,Poor
5042,30.20027,,30.20026969909668,Poor
5043,31.59347,,31.593469619750977,Poor
5046,33.5586,,33.55860137939453,Poor
5151,41.05199,,41.0519905090332,Poor
5217,28.857086,,28.857086181640625,Poor
5363,22.751205,,22.751205444335938,Poor
5423,56.12752,,56.12752151489258,Fair
5453,54.708004,,54.708003997802734,Fair
5518,56.936604,,56.93660354614258,Fair
5528,46.577545,,46.577545166015625,Poor
5538,57.05034,,57.05033874511719,Fair
5803,37.16541,,37.165409088134766,Poor
5805,47.005333,,47.005332946777344,Poor
5807,37.766624,,37.766624450683594,Poor
5843,40.586823,,40.586822509765625,Poor
5849,48.82375,,48.82374954223633,Poor
5854,25.122938,,25.12293815612793,Poor
5869,27.607037,,27.607036590576172,Poor
5908,10.241098,,10.241098403930664,Poor
6002,14.322608,,14.32260799407959,Poor
6010,52.73047,,52.73046875,Fair
6012,41.57697,,41.576969146728516,Poor
6013,6.486625,,6.4866251945495605,Poor
6016,58.13622,,58.1362190246582,Fair
6019,74.344765,,74.34476470947266,Fair
6026,72.14694,,72.14694213867188,Fair
6027,41.978424,,41.978424072265625,Poor
6040,36.281315,,36.281314849853516,Poor
6043,56.99692,,56.99692153930664,Fair
6044,63.020634,,63.020633697509766,Fair
6049,25.863522,,25.863521575927734,Poor
6050,65.256645,,65.25664520263672,Fair
6053,41.470615,,41.47061538696289,Poor
6054,55.811237,,55.81123733520508,Fair
6055,71.53041,,71.53041076660156,Fair
6060,71.21118,,71.211181640625,Fair
6150,61.512974,,61.51297378540039,Fair
7023,61.504135,,61.50413513183594,Fair
7028,63.107185,,63.10718536376953,Fair
7035,36.536438,,36.53643798828125,Poor
7036,29.188637,,29.188636779785156,Poor
7072,49.919266,,49.91926574707031,Poor
7073,44.27461,,44.27460861206055,Poor
